,job_id,job_title,location,experience,education,job_type,job_description,job_link
0,f87271abe89dbed1,Software Engineer,"Dallas, TX",MID_LEVEL,BACHELORS_DEGREE,CONTRACT,"Software Engineer - job post ClientSolv Technologies 4 reviews Dallas, TX • Remote $110,000 a year -  Contract Apply now Apply now save-icon Job details Salary $110,000 a year Job Type Contract Company Description ClientSolv Technologies is an IT solution firm with over a decade of experience serving Fortune 1000 companies, public sector and small to medium sized companies. ClientSolv Technologies is a woman-owned and operated company that is certified as a WMBE, 8a firm by the Federal government's Small Business Administration. Job Description We are seeking a Software Engineer for a contract-to-hire role. This role can work remotely from anywhere within the U.S. In this role, you will work as a member of architecture team, responsible defining a best-fit solution for existing problems and new business opportunities in the applications space. Responsibilities / Tasks: Participate and contribute in all phases of the Software Development Life Cycle (SDLC) & help in setting up the reference architecture for architectural standards as well as processes during entire process. Evaluate market products, standards, and setup quick POCs around it. Support the business with new bids/RFPs. Review RFPs and propose a technical solution as per the requirements. Interact with all teams involved in solutioning to generate architecture blueprints, Total Solutions Review artifacts, pricing estimate and staffing for systems proposed. Document all the risks and assumptions around proposed solution. Provide directions in the correction of defects in the proprietary applications or third-party software according to written and oral specifications. Provide direction in database design and the modification of database objects. Work independently to understand the assigned work, deliver on agreed upon dates and raise issues/risks in a timely manner in case of risk to deliverables Qualifications Java (3 - 5 years) Python (2 - 3 years) Microservices Architecture & Containers (2 - 3 years) AWS (2 - 3 years) JavaScript frameworks (NodeJS, Angular) (2 - 3 years) Web Services and RDBMS (2 - 3 years) NoSQL database (2 - 3 years) .NET (1+ years) Knowledge, experience in digital architecture domain and applications, in developing web services and emerging technologies such as micro services in cloud-based environments and virtualization. Experience of MASA Mesh model including ""As a Service"" models (eg. SaaS, IaaS, PaaS) and platforms (eg. AWS, Azure) Experience with Agile/continuous integration/DevOps and understanding of SDLC such as Waterfall, AGILE, SCRUM etc. Knowledge of policies, standards, procedures, and techniques used for application development. Strong ability to think logically and structurally. Attention to detail. Experience in forward looking technologies like RPA, AI/ML. Educational Requirements and/or Certifications: Minimum Bachelor’s Degree in Computer Engineering, Computer Science or a related field of study. Additional Information This contract to hire role can work anywhere within the U.S. Upon full time conversion, the salary will be $110,000 per year. If you require alternative methods of application or screening, you must approach the employer directly to request this as Indeed is not responsible for the employer's application process.",https://www.indeed.com/jobs?q=Software+Engineer&l=Dallas%2C+TX&sc=0kf%3Aattr%28FCGTU%7CHFDVW%7CQJZM9%7CUTPWG%252COR%29explvl%28MID_LEVEL%29jt%28contract%29%3B&vjk=f87271abe89dbed1
1,7e754483803cca71,Software Engineer,"Dallas, TX",MID_LEVEL,BACHELORS_DEGREE,CONTRACT,"Java/J2EE Developer - job post WorkCog Dallas, TX $41 - $72 an hour -  Full-time, Part-time, Contract Responded to 75% or more applications in the past 30 days, typically within 15 days. Apply now Apply now save-icon Job details Salary $41 - $72 an hour Job Type Full-time Part-time Contract We are looking for a Java Developer with experience in building high-performing, scalable, enterprise-grade applications. You will be part of a talented software team that works on mission-critical applications. Java developer roles and responsibilities include managing Java/Java EE application development while providing expertise in the full software development lifecycle, from concept and design to testing. Java developer responsibilities include designing, developing and delivering high-volume, low-latency applications for mission-critical systems. Responsibilities Contribute in all phases of the development lifecycle Write well designed, testable, efficient code Ensure designs are in compliance with specifications Prepare and produce releases of software components Support continuous improvement by investigating alternatives and technologies and presenting these for architectural review Skills BS/MS degree in Computer Science, Engineering or a related subject Proven hands-on Software Development experience Proven working experience in Java development Hands on experience in designing and developing applications using Java EE platforms Object Oriented analysis and design using common design patterns. Profound insight of Java and JEE internals (Classloading, Memory Management, Transaction management etc) Excellent knowledge of Relational Databases, SQL and ORM technologies (JPA2, Hibernate) Experience in the Spring Framework Experience as a Sun Certified Java Developer Experience in developing web applications using at least one popular web framework (JSF, Wicket, GWT, Spring MVC) Experience with test-driven development Job Types: Full-time, Part-time, Contract Pay: $41.00 - $72.00 per hour Schedule: 8 hour shift Work Location: Multiple Locations If you require alternative methods of application or screening, you must approach the employer directly to request this as Indeed is not responsible for the employer's application process.",https://www.indeed.com/jobs?q=Software+Engineer&l=Dallas%2C+TX&sc=0kf%3Aattr%28FCGTU%7CHFDVW%7CQJZM9%7CUTPWG%252COR%29explvl%28MID_LEVEL%29jt%28contract%29%3B&vjk=7e754483803cca71
2,9d197b2b8a21d26a,Software Engineer,"Dallas, TX",MID_LEVEL,BACHELORS_DEGREE,CONTRACT,"Product Security Software Engineer - job post High Bridge Consulting LLC High Bridge Consulting LLC in Plano, TX 75024 $85 - $90 an hour -  Full-time, Contract Apply now Apply now save-icon Job details Salary $85 - $90 an hour Job Type Full-time Contract Top three skills: Python Git or git hub Agile methodologies Description: Must have strong experience in software development Must have solid experience in software solution architecting/prototyping Must have strong experience in technical agility The job title is Product Security Testing Software Engineer, but the primary responsibility of the candidate is a software development (Programming). We are looking for someone who is a software engineer also, who knows security testing better Must have strong experience in security or Cyber security Requirements: In this role you will play a pivotal role in shaping the overall cyber security posture. As a software engineer with the Product Security Team, you will be responsible for leading and developing advanced security tooling for current and forward-model systems throughout the Connected Car ecosystem. Responsibilities: Lead and perform development of security test tooling that directly supports the teams validation and verification efforts Maintain and support several existing projects, improving overall code quality Design and develop complex software infrastructure to support DevSecOps and automated regression analysis Engage with other stakeholders in code reviews and audits Research and stay up to date on new attack vectors, vulnerabilities, and exploitation techniques Lead and participate in small to large-scale individual and matrix-based groups, initiatives, or mentoring others in technical/functional security areas Lead and participate in technology security design reviews with the ability to efficiently communicate potential issues and risks Qualifications: Bachelors degree (or higher) in Electrical Engineering, Computer Engineering, Computer Science, Cybersecurity or related is strongly desired Proficient in Python, JavaScript, C and C++ development Experience with reverse engineering and binary analysis methods and tools. Knowledge of compiler concepts, compilation lifecycle and intermediate products Knowledge and experience using static and dynamic binary analysis techniques Ability to handle tasks with significant complexity under minimal supervision requiring a high degree of technical competence Additional Valued Attributes: Experience with core security concepts, embedded security best practices (e.g., secure boot, secure debug, secure storage, secure communications) and the secure development lifecycle activities Experience working with React or Angular is a plus Experience performing code audit or review efforts Experience working or leading in Agile development workflow Experience in designing, developing, and debugging embedded security applications is a plus Experience in security research, vulnerability generation Knowledge or experience with binary symbolic analysis and fuzzing frameworks Experience with vulnerability analysis using CVSS scoring and CWE types Experience with vulnerability management process Job Types: Full-time, Contract Salary: $85.00 - $90.00 per hour Schedule: 8 hour shift Day shift Monday to Friday Work Location: One location If you require alternative methods of application or screening, you must approach the employer directly to request this as Indeed is not responsible for the employer's application process.",https://www.indeed.com/jobs?q=Software+Engineer&l=Dallas%2C+TX&sc=0kf%3Aattr%28FCGTU%7CHFDVW%7CQJZM9%7CUTPWG%252COR%29explvl%28MID_LEVEL%29jt%28contract%29%3B&vjk=9d197b2b8a21d26a
3,708c493abe6221a6,Software Engineer,"Dallas, TX",MID_LEVEL,BACHELORS_DEGREE,CONTRACT,"Engineer, Software Quality - 29828 - job post infinite Computing Systems 252 reviews 5717 Adair Ln, Plano, TX 75024 $50 - $55 an hour -  Contract Apply now Apply now save-icon Job details Salary $50 - $55 an hour Job Type Contract Required: Experience: 2-3 years of work related experience…knowledgeable of quality software engineering, non product software, ISO standard - 62304 & ISO Risk -14971 Key Skills: Medical device, mobile add development, familiar with diff languages, bug tracking tools is a plus Education: Bachelor’s degree in Software Engineering, computer science, or a related engineering field Interview Process: 1st Round interview by Video / Web Ex. Info will be found in Fieldglass. Job Type: Contract Salary: $50.00 - $55.00 per hour Schedule: 8 hour shift Education: Bachelor's (Required) Experience: quality software engineering: 2 years (Preferred) non product software: 2 years (Preferred) Medical device: 2 years (Preferred) mobile add development: 2 years (Preferred) Work Location: One location If you require alternative methods of application or screening, you must approach the employer directly to request this as Indeed is not responsible for the employer's application process.",https://www.indeed.com/jobs?q=Software+Engineer&l=Dallas%2C+TX&sc=0kf%3Aattr%28FCGTU%7CHFDVW%7CQJZM9%7CUTPWG%252COR%29explvl%28MID_LEVEL%29jt%28contract%29%3B&vjk=708c493abe6221a6
4,d8db73525b9f6ce9,Software Engineer,"Dallas, TX",MID_LEVEL,BACHELORS_DEGREE,CONTRACT,"C++ Developer - job post BCVS Group Inc. Irving, TX $40 - $43 an hour -  Contract Apply now Apply now save-icon Job details Salary $40 - $43 an hour Job Type Contract Job Title: C++ Developer Location: Irving, TX(day1 onsite) ** W2 Contract** Job Description : 5+ years of development experience. Hands on experience of C++ 14/17 standards. Linux kernel and OS Level Expertise (Multithreading, Multitasking, IPC, Socket Programming etc) Any development experience on Routers platform/application layer (Good to have) Should be able to work with minimum or no assistance. Should have experience working in agile development model. Job Type: Contract Salary: $40.00 - $43.00 per hour Schedule: 8 hour shift Monday to Friday Ability to commute/relocate: Irving, TX: Reliably commute or planning to relocate before starting work (Required) Education: Bachelor's (Preferred) Experience: Development: 5 years (Preferred) Work Location: One location If you require alternative methods of application or screening, you must approach the employer directly to request this as Indeed is not responsible for the employer's application process.",https://www.indeed.com/jobs?q=Software+Engineer&l=Dallas%2C+TX&sc=0kf%3Aattr%28FCGTU%7CHFDVW%7CQJZM9%7CUTPWG%252COR%29explvl%28MID_LEVEL%29jt%28contract%29%3B&vjk=d8db73525b9f6ce9
5,42490cd26cc10140,Software Engineer,"Dallas, TX",MID_LEVEL,BACHELORS_DEGREE,CONTRACT,"API Developer - .Net - job post Mazuma Software Dallas, TX 75205 • Hybrid remote From $600 a day -  Full-time, Contract Apply now Apply now save-icon Job details Salary From $600 a day Job Type Full-time Contract Solid C# Developer Needed at a Leading NYC Hedge Fund (WSO Knowledge) Developer (Consultant) Location: Dallas, TX (Hybrid - 3 Days in the office) Compensation: TBD, This is a contract position. You will sign a consulting agreement and be paid a per diem rate. COMPANY OVERVIEW: Mazuma Software is a small technology consulting firm specializing in systems development for the hedge fund industry. WE NEED YOU: We are searching for the right candidate to join us at our primary client: a large, technologically progressive hedge fund in midtown Manhattan. We are looking to bring the right candidate on board to help deliver the highest quality software systems. This candidate will be a rock solid, mid- to senior-level developer who has the ability to work independently and adapt to the environment as it evolves. The right candidate takes pride in his or her work and possesses excellent problem solving and communication skills. RESPONSIBILITIES: Deliver the highest quality technical solutions with efficient time-to-market Participate in full life-cycle software development Contribute ideas for new features and identify areas for improvement proactively Collaborate effectively across teams, including outside of engineering Write clean, tested, and well-documented code MINIMUM QUALIFICATIONS: Expert C# .NET Framework Experience Designing/Building .NET Web Applications and APIs Strong SQL Server Experience and Database Design Passion for Frontend/API/Mid-Tier Application Development Using Git or similar technologies for code repository and history tracking Proficiency in working with a range of APIs (REST, web-sockets, etc.) Familiarity with architecture designs such as MVC/MVP/MVVM Unit Testing (NUnit or MSpec) Systems Integration Experience TeamCity or similar Continuous Integration/Deployment DESIRABLE SKILLS: Experience working with and integrating with Wall Street Office (WSO) portfolio management software NServiceBus, Messaging Patterns Azure Cloud Migration Experience Blazor Experience ServiceStack Experience Investran API knowledge Bloomberg Integration experience Job Types: Full-time, Contract Pay: From $600.00 per day Schedule: Monday to Friday Ability to commute/relocate: Dallas, TX 75205: Reliably commute or planning to relocate before starting work (Required) Application Question(s): Are you located in the United States? Do you currently have an entity or plan on creating an entity to have a direct corp to corp contract? What state are you located in? Will you be able to come into the office 3 days a week? Do you have experience working with Wall Street Office (WSO) portfolio management software? Education: Bachelor's (Preferred) Experience: C#: 4 years (Preferred) Microsoft SQL Server: 4 years (Preferred) Work Location: Hybrid remote in Dallas, TX 75205 If you require alternative methods of application or screening, you must approach the employer directly to request this as Indeed is not responsible for the employer's application process.",https://www.indeed.com/jobs?q=Software+Engineer&l=Dallas%2C+TX&sc=0kf%3Aattr%28FCGTU%7CHFDVW%7CQJZM9%7CUTPWG%252COR%29explvl%28MID_LEVEL%29jt%28contract%29%3B&vjk=42490cd26cc10140
0,44fb7a9cc9485640,Software Engineer,"Dallas, TX",MID_LEVEL,BACHELORS_DEGREE,CONTRACT,"Cherwell Developer - job post Wisdom Soft Inc Dallas, TX $50 - $60 an hour -  Contract Apply now Apply now save-icon Job details Salary $50 - $60 an hour Job Type Contract Position : Cherwell Developer Location: Dallas, Texas Requirements: 3 – 5 years of experience configuring and developing customer solutions on the Cherwell Service Management platform Experience in Cherwell development in a multi-environment setting i.e. dev/test/stage/production Knowledgeable of Cherwell application installation and administration Ability to learn new technologies quickly and thrive in a fast-paced environment Bachelor’s degree in computer science, software engineering, or relevant field, or equivalent experience Preferred Qualifications: Minimum 5 years of successful ITSM configuration and deployment experience Technical knowledge of Microsoft SQL, LDAP, SAML, and Active Directory Familiarity with MS Exchange Experience with report writing via SQL Reporting, Cognos, PowerBi, or other reporting tools Development experience in APIs, web services Knowledge of the ITIL Framework and Agile/Scrum methodology Job Type: Contract Pay: $50.00 - $60.00 per hour Application Question(s): Please indicate your visa status to proceed. Experience: Cherwell development: 5 years (Required) Work Location: In person If you require alternative methods of application or screening, you must approach the employer directly to request this as Indeed is not responsible for the employer's application process.",https://www.indeed.com/jobs?q=Software+Engineer&l=Dallas%2C+TX&sc=0kf%3Aattr%28FCGTU%7CHFDVW%7CQJZM9%7CUTPWG%252COR%29explvl%28MID_LEVEL%29jt%28contract%29%3B&start=10&pp=gQAPAAAAAAAAAAAAAAAB_k8pNgAUAQAAmw2_aoVJqXe8OEpE_3zEwqIAAA&vjk=44fb7a9cc9485640
1,4990277cc8086f5a,Software Engineer,"Dallas, TX",MID_LEVEL,BACHELORS_DEGREE,CONTRACT,"QA Automation Engineer - job post Sapear Inc Dallas, TX • Hybrid remote $50 - $55 an hour -  Full-time, Contract Responded to 51-74% of applications in the past 30 days, typically within 21 days. Apply now Apply now save-icon Job details Salary $50 - $55 an hour Job Type Full-time Contract Hi, Role: Automation Tester Location: Horsham, PA, Pittsburgh, PA ( onsite but flexible to give 1 MONTH remote or so) This is a Quality Assurance Role within Commercial Lending Organization. It is a hybrid position which provides flexibility to work both in the office and remotely and is based in either Horsham, PA, Pittsburgh. Other locations will be considered if the contractor is willing to travel. Certain job responsibilities may require time in the office on a regular basis. JOB DESCRIPTION Develops and maintains functional test cases, System & Integration Test cases and other test artifacts like test data, and automated scripts that are used throughout the QA cycle Responsible for writing and executing manual or automated test cases and audit scripts that validate the functionalities, code quality, and data. Starts writing test scripts on day one of the development cycle and reports test results and the end of each run to eliminate artificial wait states and helps in speed to market strategy Provides the necessary technical artifacts and assertive test exit criteria Isolates, replicates & reports defects, verifies defect fixes, strives to reduce internal defects Design, code and execute automated test scripts Works closely with development engineering to ensure the end to end validations Establishes and creates Test Plans for execution and reports status timely Facilitates QA Handoff meeting (knowledge transfer from DEV team to QA) Actively participate in General Intake calls to report on bug cards. This will include recognition of already existing bugs being reported. Due to the nature of the position, we are seeking out candidates who possess strong written and oral communication skills, as well as have the ability to work as part of a team as well as independently. Preferred candidates will have an analytical and detail-orientated mindset and can manage multiple and changing priorities at once. Candidates should have the ability to leverage various toolsets to test Web Services (API testing ex: SoapUI or Postman), as well as have testing experience for web applications including ability to write and execute test plans for web applications. Familiarity with Agile tools such as JIRA also preferred. WORK EXPERIENCE This role requires a university / college degree, with 5+ years of relevant / direct industry experience. Certifications are desired. In lieu of a degree, a comparable combination of education and experience (including military service) may be considered. COMPETENCIES Accuracy and Attention to Detail – Understanding of the necessity and value of accuracy and attention to detail; ability to process information with high levels of accuracy. Analytical Thinking – Knowledge of techniques and tools that promote effective analysis and the ability to determine the root cause of organizational problems and create alternative solutions that resolve the problems in the best interest of the business. Influencing – Knowledge of effective influencing tactics and strategies; ability to impact decisions within and outside own organization. Process Management – Knowledge of business process improvement tools and techniques and ability to understand, monitor, update, or enhance existing business or work processes. Products and Services – Knowledge of major products and services and product and service groups; ability to apply this knowledge appropriately to diverse situations.\ Software Development Life Cycle – Knowledge of and experience with using a structured methodology for delivering new or enhanced software products to the marketplace. Software Quality Assurance And Testing – Knowledge of and ability to apply appropriate processes, tools, and techniques for assuring a high level of quality in computer software products and systems. Technical Documentation Management – Knowledge of, and experience in management of the development, delivery and maintenance of technology product documentation and publications. Job Types: Full-time, Contract Salary: $50.00 - $55.00 per hour Schedule: Day shift Work Location: In person If you require alternative methods of application or screening, you must approach the employer directly to request this as Indeed is not responsible for the employer's application process.",https://www.indeed.com/jobs?q=Software+Engineer&l=Dallas%2C+TX&sc=0kf%3Aattr%28FCGTU%7CHFDVW%7CQJZM9%7CUTPWG%252COR%29explvl%28MID_LEVEL%29jt%28contract%29%3B&start=10&pp=gQAPAAAAAAAAAAAAAAAB_k8pNgAUAQAAmw2_aoVJqXe8OEpE_3zEwqIAAA&vjk=4990277cc8086f5a
2,1a7b5f4a2e2fcfb5,Software Engineer,"Dallas, TX",MID_LEVEL,BACHELORS_DEGREE,CONTRACT,"Java Full stack Developer - job post Apptrics LLC Dallas, TX $50 - $55 an hour -  Contract Apply now Apply now save-icon Job details Salary $50 - $55 an hour Job Type Contract Title : Java Full stack Developer (React.js and Node JS) Job Type : Remote but when its required need to Visit any of these Nearby locations - Atlanta, GA; Austin, TX; Bentonville, AR; Carlsbad, CA; Charlotte, NC; Dallas, TX; Hoboken, NJ; Portland, OR; Reston, VA; Silicon Valley, CA; Seattle, WA Long Term Contract Skills: Need to have: Core Java Kafka JavaScript, React.js, Node.js Spring Boot, Microservices Coding Connoisseurs Basic Qualifications: BS or MS in Computer Science, Engineering, Information Systems or equivalent relevant experience. 5 to 8 years of proven experience as Java Full stack Developer. Experience in Java/J2EE, JavaScript. Open-source framework experience such as React.js, Spring, Spring Boot, Hibernate, jQuery, MySQL and Linux is required. Experience in applying modern Agile Software Development practices. Experience in development in a CI/CD environment and familiarity with CI/CD tools is required. Job Type: Contract Pay: $50.00 - $55.00 per hour Schedule: 8 hour shift Ability to commute/relocate: Dallas, TX: Reliably commute or planning to relocate before starting work (Required) Experience: Core Java: 8 years (Required) Java: 8 years (Required) Kafka: 5 years (Required) JavaScript, React.js, Node.js: 5 years (Required) Spring Boot, Microservices: 5 years (Required) Coding Connoisseurs: 5 years (Required) React.js, Spring, Spring Boot, Hibernate, jQuery, MySQL: 5 years (Required) CI/CD environment and familiarity with CI/CD tools: 4 years (Required) Work Location: In person If you require alternative methods of application or screening, you must approach the employer directly to request this as Indeed is not responsible for the employer's application process.",https://www.indeed.com/jobs?q=Software+Engineer&l=Dallas%2C+TX&sc=0kf%3Aattr%28FCGTU%7CHFDVW%7CQJZM9%7CUTPWG%252COR%29explvl%28MID_LEVEL%29jt%28contract%29%3B&start=10&pp=gQAPAAAAAAAAAAAAAAAB_k8pNgAUAQAAmw2_aoVJqXe8OEpE_3zEwqIAAA&vjk=1a7b5f4a2e2fcfb5
3,2508589f6e53d682,Software Engineer,"Dallas, TX",MID_LEVEL,BACHELORS_DEGREE,CONTRACT,"Embedded Software Engineer - job post Techspace Solutions Arlington, TX 76015 • Remote Full-time, Contract Apply now Apply now save-icon Job details Job Type Full-time Contract Job Title: Embedded Software Engineer Location: Arlington, TX (remote) Duration: Full Time Responsibilities : · Duties include analyzing, designing, coding and code modification (typically in C/C++) of software designs of airborne embedded software implementations. · Participate in requirements management via DOORS, systems specifications, and interface management. · Manage software lifecycle data via DIMENSIONs configuration management tool. · Generate software requirements to integrate avionics sensors and equipment (i.e. engines, ARINC429, hydraulics, electrical systems, landing gear, RS-422, analog signals, discretes, CAN Bus, etc.) · Assist in the evaluation of software designs to identify design flaws. · Utilize a Windows and MOSA based software development environment. · Assist in the verification and validation testing of airborne embedded software using a desktop simulation environment, systems integration labs, surrogate platforms flight testing and aircraft flight testing. Qualifications Education Requirements: · Bachelor's Degree is required. · Major in in Computer Science, Electrical or Aerospace Engineering is preferred. · Applied Sciences (Physics) or Mechanical Engineering may be considered with applicable embedded software experience. Position Requirements: · At least 5 years of relevant software experience, preferably in aerospace industry · Ability to develop software in a RTOS environment · Interest with ARINC653 software specification for space and time partitioning in safety-critical avionics real-time operating systems (RTOS) · Skilled in utilizing modern programming languages (e.g. C++, C#, Java, Python). · Skilled with embedded software development on Multicore processors · Motivated person with strong problem-solving abilities, willingness to perform a wide variety of related tasks. · Effective communication skills (both verbal and written). · Interest in modern airborne sensors, avionics, mission systems, weapons systems, or electrical systems integration, development, and testing · Familiarity with commercial certification and military qualification of aircraft systems is advantageous. · Experience with Eclipse based software is advantageous (most chip vendors and software vendors are moving to this IDE. TI-CodeComposer, NXP-CodeWarrior, DDC-I OpenArbor, etc.) · Linux/Unix experience (simple commands like ls (in windows dir), rm (del a file), md, cd, rd (make directory, change directory and remove directory) man – the builtin help documentation, · Software repositories – GiT , Tortoise GiT or some other tool that has been wrapped around GiT · Experience with DO-178B/C software development lifecycle guidelines – Software Considerations in Airborne Systems and Equipment Certification (and the DO-178C supplements) · Interests with the integration of the Army’s Future Airborne Capability Environment (FACE) on vertical lift vehicles Job Types: Full-time, Contract Schedule: 8 hour shift Ability to commute/relocate: Arlington, TX 76015: Reliably commute or planning to relocate before starting work (Required) Experience: Embedded software: 1 year (Preferred) Work Location: One location Speak with the employer +91 732-795-1267 If you require alternative methods of application or screening, you must approach the employer directly to request this as Indeed is not responsible for the employer's application process.",https://www.indeed.com/jobs?q=Software+Engineer&l=Dallas%2C+TX&sc=0kf%3Aattr%28FCGTU%7CHFDVW%7CQJZM9%7CUTPWG%252COR%29explvl%28MID_LEVEL%29jt%28contract%29%3B&start=10&pp=gQAPAAAAAAAAAAAAAAAB_k8pNgAUAQAAmw2_aoVJqXe8OEpE_3zEwqIAAA&vjk=2508589f6e53d682
